FAMILIA
BACKPLANE
CABEZAL ARDAC
CABEZAL MEI
CABEZAL JCM
CABLEADO
CONTROLADORA TOUCH
CPU
DISPLAY S2000
EBOX
FUENTE ALIMENTACION MONITOR
FUENTE ALIMENTACION MONITOR 12V
FUENTE ALIMENTACION SLOT
FUENTE LCD WIGOS
FUENTE WIGOS EBOX
IMPRESORA SLOT
MONITOR LCD
MONITOR TRC
OTROS
PLACA DE VIDEO
PLACA I/O
TECLADO IDECK
TECLADO MECANICO
TECLADO OLED
TOPPER
TV CARTEL
LCD WIGOS
FUENTE PC
RODILLO 
PCB IGT PLACA PULSADORES OLED
DISPLAY 9 LINEAS S2000
PCB RS232
STACKER
DISPLAY WIGOS
PCB I/O CPU IGTS2000/GK+/ST
NO DEFINIDO
PCB
MAIN BOARD
SPLITTER DE VIDEO
"MONITOR 48"" RULET ALFASTREET"
ESTACION DE SOLDADO
CONTROLADOR PROGRESIVO WMS BB2
SAFE STORAGE
CAMARA
TARJETERO
BALASTO
UPS
COMPACT FLASH
DISPOSITIVO MOVIL (CELULAR)
COOLER
MINI PROYECTOR LLUVIA LASER
NOTEBOOK
