nombre,valor
FUENTE 24V 4A IMPRESORA (LAB0402),60000
CPU SG TWINSTAR/J43/DUALOS (LAB3927),451724
CPU ARISTOCRAT VIRIDIAN WS (LAB0307),1190000
CPU 039 IGT S2000 (LAB0303),130000
PCB VIDEO NVID QUADRO K620 BAL (LAB2543),690065
PCB MOTHERBOARD KONAMI (LAB0773),306600
PCB CONTROL LUCES SG J43/TWIST (LAB4164),137000
PCB BACKPLANE IGT AXXIS/CRYSTA (LAB3995),807380
PCB BACKPLANE 039 IGT GK+/SLAN (LAB0771),52650
MONITOR 32' BALLY V32 (LAB3940),291960
MONITOR 19' BALLY M9000 (LAB0590),90000
LECTORA DVD ATRONIC (LAB0508),0
IMPRESORA GEN 5 PSA-66-ST5 RS2 (LAB3869),461477.5
FUENTE SWITCHING P267 ELECTRO (LAB0438),36000
FUENTE 5/12/24V SG TW ST Y A2 (LAB0410),405000
TECLADO IDECK SG TWINSTAR/J43 (LAB3930),882360
STACKER B/A JCM UBA 10 (LAB1039),13464
PCB COMM SPC 2.5 ARISTOCRAT (LAB0706),93240
MONITOR 24' PPAL AINSW A560-ST (LAB3916),1950000
MONITOR 22' LED PC SAMSUNG (LAB0617),75000
MONITOR 20.1' MAIN IGT AVP G20 (LAB0612),235440
MONITOR 19'IGT SL MODIFICADO (LAB1319),777742
IMPRESORA ITHACA 850 (LAB0469),0
IMPRESORA GEN3 RS232 (LAB0468),215478
FUENTE PC SENTEY SNP550-HS 80P (LAB2605),35000
FUENTE 12V 2A (LAB0391),57000
CPU NOVOMATIC (LAB0319),2500000
UPS APC 500VA (LAB1151),184000
TARJETERO MAGTEK WIGOS (LAB2043),125698
PCB CONTR TOUCH USB 3M (LAB0732),48600
PCB CONTR TOUCH 3M NP IGT (LAB0728),91365.23
PCB CONTR 9 LINEAS IGT S2000 (LAB0713),0
PCB COMM ARUZE DOOR (LAB4523),288125
MONITOR 23' ARISTOCRAT HELIX (LAB4367),1690000
MONITOR 21.5' RUL ALFAST LU (LAB2549),356825.47
MONITOR 19' TRC IGT GK+ (LAB0602),0
MONITOR 19' GENERICO C/DVI (LAB0594),100800
LECTORA MAGNETICAS WIGOS (LAB2043),200000
FUENTE SWITCHING P267 ELECTRO  (LAB0438),36000
FUENTE SG TWINSTAR/DUALOS/J43 (LAB3929),153000
FUENTE DE MONITOR 19 IGT TRIML (LAB2465),0
FUENTE 450W 24V ATRONIC (LAB0409),0
FUENTE 12V A 6.6A (LAB2180),0
